month_year,type,ASP_min,ASP_max,State_Min,State_Max
2015-01,Conventional,0.61,1.54,PhoenixTucson,Pittsburgh
2015-01,Organic,0.98,2.35,NewOrleansMobile,HartfordSpringfield
2015-02,Conventional,0.56,1.44,PhoenixTucson,BuffaloRochester
2015-02,Organic,1.06,2.38,SanFrancisco,HartfordSpringfield
2015-03,Conventional,0.57,1.47,PhoenixTucson,BuffaloRochester
2015-03,Organic,1.09,2.27,SanDiego,HartfordSpringfield
2015-04,Conventional,0.51,1.5,PhoenixTucson,Pittsburgh
2015-04,Organic,0.94,2.27,Roanoke,HartfordSpringfield
2015-05,Conventional,0.56,1.46,PhoenixTucson,Pittsburgh
2015-05,Organic,0.81,2.36,Columbus,HartfordSpringfield
2015-06,Conventional,0.52,1.54,PhoenixTucson,SanFrancisco
2015-06,Organic,1.08,2.4,Roanoke,HartfordSpringfield
2015-07,Conventional,0.56,1.58,PhoenixTucson,SanFrancisco
2015-07,Organic,0.99,2.75,Indianapolis,SanFrancisco
2015-08,Conventional,0.66,1.59,PhoenixTucson,SanFrancisco
2015-08,Organic,1,2.77,TotalUS,SanFrancisco
2015-09,Conventional,0.58,1.59,PhoenixTucson,BuffaloRochester
2015-09,Organic,1.31,2.79,Nashville,SanFrancisco
2015-10,Conventional,0.65,1.58,PhoenixTucson,SanFrancisco
2015-10,Organic,1.13,2.79,Roanoke,SanFrancisco
2015-11,Conventional,0.6,1.41,PhoenixTucson,Syracuse
2015-11,Organic,0.88,2.58,Denver,SanFrancisco
2015-12,Conventional,0.49,1.37,PhoenixTucson,BuffaloRochester
2015-12,Organic,0.87,2.34,Boise,HartfordSpringfield
2016-01,Conventional,0.59,1.39,PhoenixTucson,BuffaloRochester
2016-01,Organic,0.68,2.3,StLouis,SanFrancisco
2016-02,Conventional,0.54,1.34,Jacksonville,SanFrancisco
2016-02,Organic,0.82,2.38,StLouis,SanFrancisco
2016-03,Conventional,0.51,1.49,PhoenixTucson,Albany
2016-03,Organic,0.66,2.33,Denver,SanFrancisco
2016-04,Conventional,0.54,1.46,PhoenixTucson,Albany
2016-04,Organic,0.58,2.33,StLouis,HartfordSpringfield
2016-05,Conventional,0.55,1.49,PhoenixTucson,Albany
2016-05,Organic,0.7,2.4,Denver,HartfordSpringfield
2016-06,Conventional,0.6,1.5,PhoenixTucson,Albany
2016-06,Organic,0.73,2.32,Detroit,HartfordSpringfield
2016-07,Conventional,0.7,1.72,Boise,HartfordSpringfield
2016-07,Organic,0.85,2.41,Atlanta,NewYork
2016-08,Conventional,0.58,1.68,PhoenixTucson,Chicago
2016-08,Organic,0.77,2.51,CincinnatiDayton,Spokane
2016-09,Conventional,0.64,1.8,PhoenixTucson,Chicago
2016-09,Organic,0.87,2.91,Houston,LasVegas
2016-10,Conventional,0.83,2.2,Portland,SanFrancisco
2016-10,Organic,0.68,3.25,Nashville,SanFrancisco
2016-11,Conventional,0.7,2.07,PhoenixTucson,Chicago
2016-11,Organic,0.79,3.12,CincinnatiDayton,SanFrancisco
2016-12,Conventional,0.56,1.66,PhoenixTucson,BuffaloRochester
2016-12,Organic,0.64,2.67,CincinnatiDayton,SanFrancisco
2017-01,Conventional,0.51,1.64,Houston,Hartford/Springfield
2017-01,Organic,0.73,2.7,Denver,San Francisco
2017-02,Conventional,0.46,1.71,Phoenix/Tucson,Syracuse
2017-02,Organic,0.49,2.59,Cincinnati/Dayton,San Francisco
2017-03,Conventional,0.57,1.8,Phoenix/Tucson,San Francisco
2017-03,Organic,0.44,3.05,Cincinnati/Dayton,Miami/Ft. Lauderdale
2017-04,Conventional,0.65,1.93,Phoenix/Tucson,San Francisco
2017-04,Organic,0.78,3.17,Portland,Tampa
2017-05,Conventional,0.6,1.88,Cincinnati/Dayton,Grand Rapids
2017-05,Organic,0.74,2.73,Denver,San Francisco
2017-06,Conventional,0.68,1.88,Phoenix/Tucson,Grand Rapids
2017-06,Organic,0.77,2.77,Cincinnati/Dayton,San Francisco
2017-07,Conventional,0.7,1.76,Portland,Hartford/Springfield
2017-07,Organic,1.02,2.67,Dallas/Ft. Worth,Hartford/Springfield
2017-08,Conventional,0.94,2.09,Phoenix/Tucson,San Francisco
2017-08,Organic,1.13,3.04,Grand Rapids,Raleigh/Greensboro
2017-09,Conventional,1.1,2.15,Houston,Charlotte
2017-09,Organic,1.26,2.97,Grand Rapids,Raleigh/Greensboro
2017-10,Conventional,0.98,2.22,Phoenix/Tucson,Charlotte
2017-10,Organic,1.32,3,St. Louis,Portland
2017-11,Conventional,0.6,1.78,Phoenix/Tucson,Chicago
2017-11,Organic,1.26,2.54,Buffalo/Rochester,Spokane
2017-12,Conventional,0.64,1.64,Phoenix/Tucson,Grand Rapids
2017-12,Organic,1.07,2.27,Seattle,San Francisco
2018-01,Conventional,0.82,1.48,Houston,Chicago
2018-01,Organic,0.79,1.35,Phoenix/Tucson,Seattle
2018-02,Conventional,0.63,1.42,Houston,Boston
2018-02,Organic,0.64,1.46,Phoenix/Tucson,Hartford/Springfield
2018-03,Conventional,0.71,1.48,Houston,Chicago
2018-03,Organic,0.63,1.37,Phoenix/Tucson,Hartford/Springfield
2018-04,Conventional,0.62,1.51,Houston,Chicago
2018-04,Organic,0.76,1.34,Phoenix/Tucson,Hartford/Springfield
2018-05,Conventional,0.61,1.29,Houston,Grand Rapids
2018-05,Organic,0.73,1.23,Phoenix/Tucson,Seattle
2018-06,Conventional,0.71,1.52,Houston,Grand Rapids
2018-06,Organic,0.7,1.33,Phoenix/Tucson,Seattle
2018-07,Conventional,0.71,1.41,Houston,Baltimore/Washington
2018-07,Organic,0.73,1.43,Phoenix/Tucson,Seattle
2018-08,Conventional,0.81,1.45,Houston,San Francisco
2018-08,Organic,0.79,1.54,Phoenix/Tucson,Seattle
2018-09,Conventional,0.84,1.7,Houston,Chicago
2018-09,Organic,0.97,1.67,Phoenix/Tucson,Seattle
2018-10,Conventional,0.79,1.46,Houston,Boston
2018-10,Organic,0.86,1.65,Phoenix/Tucson,Seattle
2018-11,Conventional,0.81,1.52,Houston,San Francisco
2018-11,Organic,0.73,1.48,Dallas/Ft. Worth,Seattle
2018-12,Conventional,0.74,1.65,Houston,Grand Rapids
2018-12,Organic,0.69,1.54,Dallas/Ft. Worth,Seattle
2019-01,Conventional,0.62,1.53,Houston,Grand Rapids
2019-01,Organic,1.07,2.5,Buffalo/Rochester,San Francisco
2019-02,Conventional,0.61,1.45,Phoenix/Tucson,Seattle
2019-02,Organic,0.95,1.98,Grand Rapids,Seattle
2019-03,Conventional,0.54,1.5,Houston,Grand Rapids
2019-03,Organic,1.02,2.27,New Orleans/Mobile,Raleigh/Greensboro
2019-04,Conventional,0.73,1.82,Phoenix/Tucson,Seattle
2019-04,Organic,1.03,2.32,New Orleans/Mobile,Portland
2019-05,Conventional,0.83,1.79,Houston,San Francisco
2019-05,Organic,0.93,2.37,New Orleans/Mobile,Portland
2019-06,Conventional,0.95,1.98,Columbus,Seattle
2019-06,Organic,0.9,2.54,Tampa,Spokane
2019-07,Conventional,1,2.02,Harrisburg/Scranton,Seattle
2019-07,Organic,0.99,2.78,Orlando,San Diego
2019-08,Conventional,0.77,1.87,Houston,Seattle
2019-08,Organic,0.91,2.73,Tampa,Raleigh/Greensboro
2019-09,Conventional,0.82,1.86,Houston,Seattle
2019-09,Organic,0.95,2.71,Detroit,Raleigh/Greensboro
2019-10,Conventional,0.77,1.56,Phoenix/Tucson,Seattle
2019-10,Organic,0.77,2.15,Indianapolis,Raleigh/Greensboro
2019-11,Conventional,0.61,1.5,Houston,Sacramento
2019-11,Organic,0.88,2.34,Columbus,Raleigh/Greensboro
2019-12,Conventional,0.64,1.54,Chicago,San Francisco
2019-12,Organic,0.72,2.31,Detroit,Raleigh/Greensboro
2020-01,Conventional,0.65,1.53,Dallas/Ft. Worth,San Francisco
2020-01,Organic,0.85,2.09,Grand Rapids,St. Louis